epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.2448,1.6092,2.72476,1.35745,0.53316,0.47915,0.44582,0.24989,1.50028,1.87807,1.24994,0.00016875,0.00016875,0.00016875
2,123.66,1.45793,1.53667,1.26352,0.71469,0.47619,0.55699,0.33009,1.49146,1.99351,1.29333,0.000336944,0.000336944,0.000336944
3,200.593,1.45955,1.45036,1.26563,0.70194,0.55506,0.60026,0.35205,1.5079,1.7088,1.33673,0.000498207,0.000498207,0.000498207
4,234.711,1.42938,1.38678,1.25849,0.6737,0.64377,0.68614,0.39033,1.50587,1.64729,1.36821,0.000587875,0.000587875,0.000587875
5,266.788,1.41379,1.30571,1.25486,0.71844,0.59502,0.69145,0.41504,1.52606,1.60651,1.36818,0.0005755,0.0005755,0.0005755
6,286.163,1.40508,1.23269,1.26655,0.69076,0.56177,0.62675,0.36239,1.56768,1.32809,1.39993,0.000563125,0.000563125,0.000563125
7,309.906,1.38223,1.10284,1.2258,0.71954,0.61593,0.66488,0.40116,1.49841,1.32629,1.36303,0.00055075,0.00055075,0.00055075
8,328.385,1.36248,1.08839,1.24372,0.55421,0.78365,0.74296,0.46937,1.52777,1.3095,1.35284,0.000538375,0.000538375,0.000538375
9,353.254,1.35659,1.064,1.24007,0.65401,0.68986,0.67053,0.38863,1.53016,1.25501,1.38672,0.000526,0.000526,0.000526
10,371.615,1.30015,0.98962,1.2057,0.67199,0.71063,0.69129,0.40814,1.47342,1.23707,1.35199,0.000513625,0.000513625,0.000513625
11,401.146,1.31985,0.97485,1.22001,0.78248,0.62813,0.77498,0.46098,1.50528,1.14954,1.35357,0.00050125,0.00050125,0.00050125
12,418.079,1.25381,0.9538,1.17355,0.80724,0.66797,0.7435,0.44954,1.50697,1.14778,1.36167,0.000488875,0.000488875,0.000488875
13,443.277,1.24576,0.95701,1.17936,0.73457,0.73501,0.78153,0.46166,1.46297,1.11622,1.34769,0.0004765,0.0004765,0.0004765
14,460.325,1.24485,0.90865,1.18691,0.74072,0.747,0.79357,0.4706,1.48791,1.05209,1.35421,0.000464125,0.000464125,0.000464125
15,479.943,1.22951,0.8965,1.15825,0.81126,0.74658,0.81174,0.47355,1.45681,0.99119,1.33921,0.00045175,0.00045175,0.00045175
16,500.413,1.20399,0.85993,1.13865,0.87504,0.65252,0.82443,0.50655,1.41964,1.02174,1.31427,0.000439375,0.000439375,0.000439375
17,527.134,1.21175,0.85107,1.16431,0.83541,0.66828,0.75594,0.47051,1.43445,1.02684,1.31259,0.000427,0.000427,0.000427
