epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.98482,1.75588,4.11958,1.41166,0.01426,0.27113,0.04747,0.03052,1.54599,3.99892,1.27041,0.00016875,0.00016875,0.00016875
2,11.3238,1.71354,2.9902,1.36668,0.92864,0.0304,0.09715,0.05696,1.64193,3.36519,1.34877,0.000336944,0.000336944,0.000336944
3,15.4835,1.72462,2.55319,1.36556,0.58972,0.11181,0.16354,0.08568,1.69227,2.7507,1.35112,0.000498207,0.000498207,0.000498207
4,19.5208,1.64345,2.21645,1.31869,0.58899,0.24985,0.22615,0.1289,1.68177,2.5272,1.38194,0.000587875,0.000587875,0.000587875
5,23.5344,1.66159,2.11697,1.34283,0.69523,0.25962,0.2862,0.15527,1.63615,2.07962,1.3515,0.0005755,0.0005755,0.0005755
6,27.5157,1.6167,2.03195,1.35059,0.70142,0.26588,0.28863,0.15019,1.61178,1.96026,1.35157,0.000563125,0.000563125,0.000563125
7,31.7259,1.58793,1.88696,1.31058,0.51613,0.34818,0.3958,0.21948,1.58506,1.78133,1.32995,0.00055075,0.00055075,0.00055075
8,35.8829,1.57004,1.83116,1.30632,0.57904,0.42014,0.47907,0.24834,1.63984,1.58769,1.32407,0.000538375,0.000538375,0.000538375
9,39.8975,1.5605,1.71669,1.29399,0.56977,0.40067,0.44058,0.24293,1.55333,1.58811,1.28768,0.000526,0.000526,0.000526
10,43.9183,1.50345,1.69806,1.24658,0.60115,0.46867,0.51775,0.28707,1.58802,1.51045,1.30068,0.000513625,0.000513625,0.000513625
11,48.0229,1.52091,1.60469,1.25653,0.56532,0.49399,0.5263,0.29512,1.50968,1.41955,1.27218,0.00050125,0.00050125,0.00050125
12,52.022,1.4353,1.59618,1.2148,0.6784,0.46209,0.54963,0.31289,1.49308,1.44144,1.26612,0.000488875,0.000488875,0.000488875
13,56.1463,1.4276,1.54744,1.2183,0.56051,0.57246,0.61039,0.35918,1.48851,1.36414,1.27456,0.0004765,0.0004765,0.0004765
14,60.2205,1.41769,1.46157,1.22642,0.66897,0.54924,0.63149,0.34864,1.52422,1.37479,1.29257,0.000464125,0.000464125,0.000464125
15,64.5417,1.40507,1.4465,1.21697,0.66409,0.58389,0.62567,0.35923,1.48272,1.34702,1.26655,0.00045175,0.00045175,0.00045175
16,68.5316,1.41125,1.46043,1.20725,0.59098,0.59755,0.628,0.37843,1.50421,1.32119,1.26776,0.000439375,0.000439375,0.000439375
17,72.5969,1.38135,1.37277,1.19544,0.7125,0.5882,0.63474,0.3727,1.46551,1.31326,1.23494,0.000427,0.000427,0.000427
