epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.585,1.71178,3.73085,1.38442,0.43195,0.35497,0.2947,0.17165,1.62767,3.81705,1.29972,0.00016875,0.00016875,0.00016875
2,15.6587,1.5518,1.82117,1.26113,0.64705,0.44471,0.45112,0.26646,1.52394,1.7313,1.2567,0.000336944,0.000336944,0.000336944
3,23.1216,1.55264,1.6072,1.26017,0.6158,0.55152,0.5252,0.29417,1.54158,1.76976,1.26393,0.000498207,0.000498207,0.000498207
4,30.7961,1.48556,1.45933,1.23662,0.64703,0.44817,0.51245,0.29085,1.53399,1.48748,1.27408,0.000587875,0.000587875,0.000587875
5,37.5226,1.46821,1.3689,1.23812,0.63928,0.54898,0.53847,0.30937,1.57995,1.3652,1.29595,0.0005755,0.0005755,0.0005755
6,44.2884,1.41818,1.28281,1.21981,0.61377,0.59103,0.62909,0.343,1.55763,1.26084,1.2775,0.000563125,0.000563125,0.000563125
7,51.418,1.4079,1.18543,1.1978,0.76242,0.58201,0.63926,0.35559,1.53916,1.27456,1.28042,0.00055075,0.00055075,0.00055075
8,58.2982,1.42142,1.18896,1.215,0.77853,0.6481,0.6973,0.40909,1.47331,1.16066,1.25902,0.000538375,0.000538375,0.000538375
9,65.57,1.37837,1.12895,1.20065,0.73871,0.69798,0.72143,0.42257,1.44175,1.1267,1.24743,0.000526,0.000526,0.000526
10,72.7202,1.33176,1.06438,1.16522,0.82777,0.62802,0.72034,0.43404,1.43376,1.13376,1.24523,0.000513625,0.000513625,0.000513625
11,79.3822,1.34498,1.03398,1.16997,0.69045,0.68562,0.65927,0.38681,1.48009,1.2203,1.26568,0.00050125,0.00050125,0.00050125
12,85.9131,1.27533,0.9963,1.13603,0.7845,0.66408,0.69006,0.40398,1.4616,1.11057,1.25798,0.000488875,0.000488875,0.000488875
13,92.4437,1.26205,0.97817,1.13945,0.80269,0.70455,0.74499,0.43978,1.46999,1.07745,1.27559,0.0004765,0.0004765,0.0004765
14,100.423,1.26625,0.97095,1.15377,0.86516,0.71548,0.76955,0.45339,1.45856,1.03014,1.26539,0.000464125,0.000464125,0.000464125
15,107.879,1.22604,0.92222,1.11181,0.85373,0.71497,0.76269,0.45696,1.43598,1.0008,1.22989,0.00045175,0.00045175,0.00045175
16,114.772,1.21743,0.94042,1.10403,0.75886,0.68729,0.767,0.47661,1.43452,0.98689,1.23663,0.000439375,0.000439375,0.000439375
17,121.605,1.2226,0.89245,1.11932,0.79008,0.71375,0.75294,0.47661,1.43678,1.06498,1.23167,0.000427,0.000427,0.000427
18,128.209,1.19483,0.86292,1.09307,0.8525,0.72256,0.77517,0.49243,1.3969,1.02834,1.20639,0.000414625,0.000414625,0.000414625
19,134.939,1.15115,0.83065,1.07429,0.78424,0.72531,0.74592,0.47521,1.38549,1.04101,1.18608,0.00040225,0.00040225,0.00040225
20,141.426,1.18454,0.82713,1.09438,0.71719,0.69144,0.74421,0.4676,1.41727,1.05571,1.20101,0.000389875,0.000389875,0.000389875
21,148.014,1.17061,0.81775,1.08061,0.81841,0.71336,0.76113,0.47344,1.40463,1.00692,1.19196,0.0003775,0.0003775,0.0003775
22,154.589,1.15094,0.79867,1.06645,0.7118,0.70744,0.75923,0.4697,1.42996,0.98657,1.1967,0.000365125,0.000365125,0.000365125
23,161.151,1.14202,0.79729,1.07977,0.75881,0.72127,0.75297,0.47532,1.38355,0.92867,1.18161,0.00035275,0.00035275,0.00035275
24,167.789,1.11136,0.77035,1.05596,0.82829,0.69837,0.74118,0.47004,1.4207,0.947,1.19078,0.000340375,0.000340375,0.000340375
25,174.467,1.08093,0.75953,1.04821,0.73494,0.69874,0.73293,0.46277,1.42352,0.96316,1.19236,0.000328,0.000328,0.000328
26,181.251,1.08596,0.75284,1.04721,0.78078,0.70519,0.76724,0.49545,1.40256,0.91986,1.19784,0.000315625,0.000315625,0.000315625
27,188.073,1.06565,0.74056,1.03452,0.86804,0.74602,0.77754,0.49405,1.40218,0.92245,1.18967,0.00030325,0.00030325,0.00030325
28,194.627,1.1073,0.73334,1.04693,0.8403,0.71739,0.75871,0.46847,1.3921,0.94082,1.20131,0.000290875,0.000290875,0.000290875
29,201.162,1.04772,0.70295,1.01167,0.87817,0.69008,0.77782,0.49046,1.38976,0.92033,1.2002,0.0002785,0.0002785,0.0002785
30,207.719,1.08621,0.71716,1.02253,0.84256,0.73041,0.77176,0.48675,1.40108,0.91106,1.19003,0.000266125,0.000266125,0.000266125
31,214.392,1.06107,0.71397,1.0325,0.77392,0.67104,0.76915,0.49249,1.40506,0.92851,1.1907,0.00025375,0.00025375,0.00025375
32,221.116,1.06017,0.70018,1.03355,0.75367,0.67546,0.76092,0.49437,1.35504,0.90539,1.17448,0.000241375,0.000241375,0.000241375
33,227.88,1.03305,0.68044,1.0197,0.76222,0.69967,0.77847,0.49312,1.3705,0.90524,1.16979,0.000229,0.000229,0.000229
34,234.456,1.01298,0.67131,1.01082,0.86765,0.74833,0.79936,0.51588,1.35698,0.86255,1.16222,0.000216625,0.000216625,0.000216625
35,241.164,1.00205,0.6671,1.00258,0.79569,0.76273,0.81699,0.52143,1.35088,0.85713,1.16215,0.00020425,0.00020425,0.00020425
36,247.924,0.99954,0.65508,0.99846,0.88736,0.75838,0.80733,0.51428,1.3612,0.86878,1.16943,0.000191875,0.000191875,0.000191875
37,254.477,0.98831,0.65724,1.0037,0.88784,0.76414,0.80599,0.51029,1.36751,0.8745,1.16157,0.0001795,0.0001795,0.0001795
38,261.04,0.96436,0.62939,1.00361,0.90301,0.7077,0.78056,0.49961,1.34778,0.8758,1.16509,0.000167125,0.000167125,0.000167125
39,267.614,0.97082,0.64965,0.98387,0.883,0.74177,0.78208,0.49114,1.35578,0.88441,1.1734,0.00015475,0.00015475,0.00015475
40,274.186,0.93478,0.62398,0.9944,0.85258,0.745,0.77965,0.49723,1.37423,0.88939,1.17893,0.000142375,0.000142375,0.000142375
41,326.475,0.94341,0.60004,0.96916,0.8726,0.73986,0.78053,0.48739,1.41922,0.90569,1.1988,0.00013,0.00013,0.00013
42,333.196,0.94385,0.59138,0.95446,0.83487,0.74621,0.77901,0.49959,1.37021,0.90689,1.17641,0.000117625,0.000117625,0.000117625
43,339.929,0.91328,0.56833,0.95022,0.88783,0.69991,0.77631,0.49383,1.35397,0.89975,1.17702,0.00010525,0.00010525,0.00010525
44,346.58,0.90723,0.5557,0.9547,0.86921,0.71181,0.77697,0.48953,1.35948,0.89827,1.17804,9.2875e-05,9.2875e-05,9.2875e-05
45,354.077,0.89824,0.55872,0.95393,0.86001,0.74734,0.78404,0.48914,1.36389,0.88317,1.17599,8.05e-05,8.05e-05,8.05e-05
46,360.52,0.85906,0.53861,0.93486,0.8653,0.73494,0.7866,0.48998,1.35889,0.87563,1.17784,6.8125e-05,6.8125e-05,6.8125e-05
47,367.021,0.86496,0.53321,0.93663,0.85879,0.75474,0.79408,0.49873,1.36241,0.87154,1.17674,5.575e-05,5.575e-05,5.575e-05
